participant_id	rse_q1	rse_q2	rse_q3	rse_q4	rse_q5	rse_q6	rse_q7	rse_q8	rse_q9	rse_q10
sub-1001	3	2	2	3	1	1	3	2	1	4
sub-1002	2	2	2	2	3	2	2	2	3	3
sub-1003	2	2	2	2	3	3	3	2	3	2
sub-1004	1	4	1	1	4	4	1	4	4	1
sub-1006	2	4	1	3	3	3	2	2	3	2
sub-1007	2	3	2	2	3	3	2	2	3	1
sub-1009	1	4	1	1	4	4	1	3	4	1
sub-1010	3	2	2	1	2	2	2	1	3	4
sub-1011	2	4	1	2	4	2	1	2	4	1
sub-1012	1	4	1	1	4	4	1	3	4	2
sub-1013	1	4	1	2	4	4	1	4	4	1
sub-1015	1	3	1	1	4	3	1	4	4	2
sub-1016	3	3	2	2	3	3	2	3	3	2
sub-1019	2	3	2	2	3	3	2	2	3	2
sub-1021	3	2	3	3	3	2	2	4	4	3
sub-1240	3	2	2	2	2	3	3	1	3	3
sub-1242	2	3	1	1	4	3	1	2	3	2
sub-1243	2	3	2	2	4	3	2	2	4	2
sub-1244	2	4	1	1	4	3	1	3	4	1
sub-1245	2	4	2	2	3	3	2	3	3	2
sub-1247	1	3	1	1	4	3	1	3	4	1
sub-1248	3	2	1	1	3	2	2	1	4	2
sub-1249	2	3	2	2	4	3	1	2	4	2
sub-1251	2	2	2	1	3	3	2	4	3	2
sub-1253	2	3	1	2	3	3	1	2	3	2
sub-1255	2	3	2	2	3	3	2	2	3	2
sub-1276	1	3	1	1	4	4	2	2	4	2
sub-1282	2	1	2	2	3	1	2	4	3	2
sub-1286	2	3	2	2	3	3	2	3	3	2
sub-1294	1	4	1	2	4	4	1	3	4	2
sub-1300	2	2	2	2	3	2	2	3	3	2
sub-1301	2	3	1	1	4	3	1	3	4	2
sub-1302	2	3	2	2	3	3	2	2	3	2
sub-1303	2	2	2	2	3	2	1	3	3	2
sub-3101	2	3	2	2	3	3	2	3	3	2
sub-3116	1	3	1	1	4	4	1	3	4	1
sub-3122	2	2	2	2	3	2	2	2	3	2
sub-3125	2	3	1	1	4	3	2	2	3	1
sub-3140	2	2	1	3	2	2	3	3	3	2
sub-3143	1	4	1	1	4	4	1	3	4	2
sub-3152	2	3	1	1	3	4	1	2	4	1
sub-3164	1	2	1	1	3	3	1	3	4	1
sub-3166	1	2	1	2	3	2	1	3	4	2
sub-3167	2	3	1	2	3	3	2	3	3	1
sub-3170	2	3	2	2	2	3	2	2	3	2
sub-3173	2	2	1	2	3	2	1	2	4	1
sub-3175	2	2	2	2	3	2	2	2	3	3
sub-3176	2	4	1	1	3	4	2	3	4	2
sub-3186	2	2	1	2	3	2	2	2	3	2
sub-3189	4	2	1	2	2	2	2	1	2	3
sub-3190	2	1	1	2	3	2	2	1	3	2
sub-3199	3	2	3	2	2	2	3	1	2	3
sub-3200	1	4	2	1	3	4	2	2	4	1
sub-3206	2	2	2	2	2	2	2	2	3	3
sub-3210	2	2	2	1	3	3	2	3	4	2
sub-3212	2	3	1	1	4	3	1	3	4	2
sub-3218	2	2	1	2	3	2	2	1	3	2
sub-3220	2	2	2	2	3	2	2	2	3	2
sub-3223	2	2	1	2	4	3	1	1	3	2
